index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
39,What social platform has influenced your online shopping most?,University,University of Central Arkansas,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
40,What social platform has influenced your online shopping most?,University,Northeastern University,Facebook,1,0.5,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,1.0964102284235162
41,What social platform has influenced your online shopping most?,University,Northeastern University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
42,What social platform has influenced your online shopping most?,University,Northeastern University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
43,What social platform has influenced your online shopping most?,University,Northeastern University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
44,What social platform has influenced your online shopping most?,University,Northeastern University,nan,1,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,1.0964102284235162
45,What social platform has influenced your online shopping most?,University,West Virginia University ,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
46,What social platform has influenced your online shopping most?,University,West Virginia University ,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
47,What social platform has influenced your online shopping most?,University,West Virginia University ,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
48,What social platform has influenced your online shopping most?,University,West Virginia University ,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
49,What social platform has influenced your online shopping most?,University,West Virginia University ,nan,2,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,2.8978644388705295
50,What social platform has influenced your online shopping most?,University,Northern Arizona University,Facebook,1,1.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
51,What social platform has influenced your online shopping most?,University,Northern Arizona University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
52,What social platform has influenced your online shopping most?,University,Northern Arizona University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
53,What social platform has influenced your online shopping most?,University,Northern Arizona University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
54,What social platform has influenced your online shopping most?,University,Northern Arizona University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
55,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Facebook,1,1.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
