index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
291,What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.3,1.3862943611198906,0.0,1.0,0.0,0.0,0.0,-0.3774324483295421,0.3758285442447109
292,What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
293,What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
294,What social platform has influenced your online shopping most?,University,Tufts University,nan,3,0.3,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,-0.3774324483295421,0.3758285442447109
295,What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
296,What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
297,What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
298,What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
299,What social platform has influenced your online shopping most?,University,Texas Tech University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
300,What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
301,What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
302,What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
303,What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
304,What social platform has influenced your online shopping most?,University,Kansas State University,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
305,What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
306,What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
307,What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
308,What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
309,What social platform has influenced your online shopping most?,University,University of Notre Dame,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
310,What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
311,What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,2,1.0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,2.8978644388705295
312,What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
313,What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
314,What social platform has influenced your online shopping most?,University,University of Georgia,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
315,What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
316,What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
317,What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
318,What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
319,What social platform has influenced your online shopping most?,University,Ohio University,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
320,What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
321,What social platform has influenced your online shopping most?,University,Washington State University,Instagram,2,1.0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,2.8978644388705295
322,What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
323,What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
324,What social platform has influenced your online shopping most?,University,Washington State University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
325,What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
326,What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
327,What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
328,What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
329,What social platform has influenced your online shopping most?,University,Binghamtom University,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
330,What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
331,What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
332,What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
333,What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
334,What social platform has influenced your online shopping most?,University,George Washington University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
335,What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
336,What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.2,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,0.01553770215530838
337,What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,1,0.2,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,0.01553770215530838
338,What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
339,What social platform has influenced your online shopping most?,University,University of Alabama,nan,3,0.6,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,-0.3774324483295421,1.4567010705129189
340,What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
341,What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
342,What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
343,What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,-0.41638912033078446,0.4947245221342139
344,What social platform has influenced your online shopping most?,University,University of Florida,nan,1,0.333,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,0.4947245221342139
345,What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
346,What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
347,What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
348,What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
349,What social platform has influenced your online shopping most?,University,The College of New Jersey,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
350,What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
351,What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
352,What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
353,What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
354,What social platform has influenced your online shopping most?,University,Florida State University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
355,What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
356,What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
357,What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
358,What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
359,What social platform has influenced your online shopping most?,University,Santa Clara University,nan,2,0.667,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,1.6980959347128188
360,What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,5,0.172,1.791759469228055,1.0,0.0,0.0,0.0,0.0,-0.3384757763282997,-0.08534373362972444
361,What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,9,0.31,2.302585092994046,0.0,1.0,0.0,0.0,0.0,-0.26056243232581494,0.4118576284536512
362,What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
363,What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.103,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,-0.3774324483295421,-0.3339444146714122
364,What social platform has influenced your online shopping most?,University,Appalachian State University,nan,12,0.414,2.5649493574615367,0.0,0.0,0.0,0.0,1.0,-0.2021274243239514,0.7865601042266299
365,What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
366,What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
367,What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
368,What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,-0.41638912033078446,2.8978644388705295
369,What social platform has influenced your online shopping most?,University,Arbroath Academy,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
370,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
371,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
372,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
373,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
374,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
375,What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
376,What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
377,What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,0.5,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,1.0964102284235162
378,What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
379,What social platform has influenced your online shopping most?,University,University of Rhode Island,nan,1,0.5,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,1.0964102284235162
380,What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
381,What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,1.6980959347128188
382,What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
383,What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
384,What social platform has influenced your online shopping most?,University,Virginia Tech,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
385,What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
386,What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
387,What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
388,What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
389,What social platform has influenced your online shopping most?,University,Syracuse University,nan,2,0.667,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,1.6980959347128188
390,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
391,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Instagram,1,1.0,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
392,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
393,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
394,What social platform has influenced your online shopping most?,University,Cypress Creek High School,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
395,What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
396,What social platform has influenced your online shopping most?,University,Union High School,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
397,What social platform has influenced your online shopping most?,University,Union High School,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
398,What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
399,What social platform has influenced your online shopping most?,University,Union High School,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
400,What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,25,0.287,3.258096538021482,1.0,0.0,0.0,0.0,0.0,0.051090943684124056,0.32899073477308854
401,What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,25,0.287,3.258096538021482,0.0,1.0,0.0,0.0,0.0,0.051090943684124056,0.32899073477308854
402,What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,5,0.057,1.791759469228055,0.0,0.0,1.0,0.0,0.0,-0.3384757763282997,-0.49967820203253743
403,What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,2,0.023,1.0986122886681098,0.0,0.0,0.0,1.0,0.0,-0.3969107843301633,-0.6221770883429343
404,What social platform has influenced your online shopping most?,University,College of William and Mary,nan,30,0.345,3.4339872044851463,0.0,0.0,0.0,0.0,1.0,0.14848262368723,0.537959423184942
405,What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
406,What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
407,What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
408,What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
409,What social platform has influenced your online shopping most?,University,Ohio State University,nan,4,1.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.0,-0.3579541123289209,2.8978644388705295
410,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
411,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
412,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Snapchat,1,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
413,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
414,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
415,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
416,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
417,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
418,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
419,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,nan,2,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,2.8978644388705295
420,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
421,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
422,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
423,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,-0.41638912033078446,2.8978644388705295
424,What social platform has influenced your online shopping most?,University,Oklahoma State University ,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
425,What social platform has influenced your online shopping most?,University,University of Texas,Facebook,13,0.342,2.6390573296152584,1.0,0.0,0.0,0.0,0.0,-0.1826490883233302,0.5271506979222602
426,What social platform has influenced your online shopping most?,University,University of Texas,Instagram,11,0.289,2.4849066497880004,0.0,1.0,0.0,0.0,0.0,-0.22160576032457258,0.3361965516148766
427,What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,1,0.026,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,-0.6113683630802522
428,What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
429,What social platform has influenced your online shopping most?,University,University of Texas,nan,13,0.342,2.6390573296152584,0.0,0.0,0.0,0.0,1.0,-0.1826490883233302,0.5271506979222602
430,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
431,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
432,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
433,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
434,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,nan,2,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,2.8978644388705295
435,What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.157,2.1972245773362196,1.0,0.0,0.0,0.0,0.0,-0.28004076832643615,-0.13938735994313478
436,What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,27,0.529,3.332204510175204,0.0,1.0,0.0,0.0,0.0,0.09004761568536643,1.200894572629443
437,What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,2,0.039,1.0986122886681098,0.0,0.0,1.0,0.0,0.0,-0.3969107843301633,-0.5645305536086299
438,What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,5,0.098,1.791759469228055,0.0,0.0,0.0,1.0,0.0,-0.3384757763282997,-0.35195895677588235
439,What social platform has influenced your online shopping most?,University,University of Arizona,nan,9,0.176,2.302585092994046,0.0,0.0,0.0,0.0,1.0,-0.26056243232581494,-0.07093209994614832
440,What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
441,What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,2.8978644388705295
442,What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
443,What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
444,What social platform has influenced your online shopping most?,University,Coventry University,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
445,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
446,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
447,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,2,0.667,1.0986122886681098,0.0,0.0,1.0,0.0,0.0,-0.3969107843301633,1.6980959347128188
448,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
449,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,nan,1,0.333,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,0.4947245221342139
450,What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
451,What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
452,What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
453,What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
454,What social platform has influenced your online shopping most?,University,Colgate University,nan,2,1.0,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,-0.3969107843301633,2.8978644388705295
455,What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,30,0.261,3.4339872044851463,1.0,0.0,0.0,0.0,0.0,0.14848262368723,0.235315115829844
